's	6_41_227
,	38_50_102_117_206_229_251_285_303_309_340_369_407_425_436_448
.	20_44_66_77_93_113_127_136_167_171_187_193_200_224_246_256_273_280_291_296_315_326_350_367_383_398_415_440_457_463_467_471_478_500_506
11	243
12	205
a	46_95_270_276_313_372_409_460
acute	323_347
again	486
age	203
allow	430
and	151_159_175_196_376_384_475
as	408_491
at	29_107
away	288
bare	115
bbc	22_357_503
be	10_58_119_129_144_189_209_263_269_275_301_320_332_344_360_371_389_401_412_418_450_453_459_469_484_496
become	149_176
big	150
biggest	7
breathe	192
but	85_267_304_479
buy	11
case	345
chain	366
change	419
chemical	121
child	18_27_57_105_140_154_234_361_392_452
claim	54
close	334
come	182
company	9_218
concerned	414
concrete	434
condition	62
consistent	321
contract	428_446
cough	174
could	343
dangerous	461_470
daughter	245
direct	427_445
dizzy	177_290_474
do	254_293_307
drug	462
dry	84_166_180_261
during	238
employ	17
environment	382
every	30_108
evidence	25
fact	329
family	396
farm	15_212_228_397_447
father	373_410
feel	289
fertile	86
fertilizer	122
field	100
fifth-largest	42
find	24_104
first	131
for	236_297
from	14
get	142_169_198_249_465_473_476
give	311_327
grow	79_378
hand	116
hard	190
harvest	240_490
have	23_208_493
hazardous	61
he	230_237_242
headache	170_199_314_477
help	393
henschke	68_502
here	81_101
hire	456
human	51
i	168_172_194_197_370_377_386_406
if	305_416
in	36_45_60_63_82_333_363_380_487
include	220_241
indonesia	37
industry	65
international	223_353
into	162
introduce	426
investigate	76
involve	143
island	72_90
issue	439
it	188_268_274_284_310_388_468
know	339_387
knowledge	354
labor	362
launch	48
leaf	147
leave	158
like	225
lombok	74_92_505
longer	455
look	368
lot	232
monitor	437
morris	222_352
muktar	226
multinational	216
news	504
next	489
nice	271_302
nicotine	324_348
nine	497
no	454
normal	390
not	255_294_308
now	1
of	3_26_56_73_91_110_133_184_204_233_259_346_374_443
old	499
on	88_94_123_211_394_441
one	442
out	183_403
oven	164_186
people	298
philip	221_351
pick	155
plant	126
point	138_402
poisoning	325_349
process	35_112_135
procure	423
producer	43
product	13
production	34
provide	433
proximity	335
put	120
really	141
rebecca	67_501
report	47_319_400
right	287
rights	52
rrom	201
rural	381
say	231_481
she	207_248_253_292_482_492_495
sick	250_466
sinarwulan	480
since	494
situation	404
smell	258_272_279_283
smoke	295_300
soil	87
some	2
sometimes	247_252
stage	31_109_132
start	173
still	264
strong	265_278
supply	214_365
support	435
symptom	317
take	160
tell	451
that	213_330_358_391_405_429
the	4_21_32_39_64_71_83_89_98_111_124_130_134_137_153_156_163_179_185_202_239_257_260_316_328_356_395_399_420_438_488
then	152
there	359
these	146
they	12_161_318_331_364_444_464_472
this	128
thousand	55
three	375
tina	118
to	70_75_97_165_191_215_355_432
tobacco	8_33_78_99_125_157_181_217_262_337_424_458
today	49
travel	69
tree	148
up	379
very	277_341_413
visit	96
vomit	195
watch	53
way	421
we	103_282_286_417_422_431_449
well	80_342
when	145_178_281
which	16_139
while	385
who	299
will	483
with	114_322_336
work	28_59_106_210_235_485
worker	19
world	5_40
would	411
year	498
year-old	244
you	306_312_338
，	219_266
