's	27_34_49_135_164_189_390_438_532_687
,	97_132_166_225_247_334_399_434_464_492_511_534_547_567_622_697_701_710_734_818_838
.	25_57_78_84_112_153_176_200_210_215_238_263_293_318_341_353_375_396_402_418_440_455_474_503_506_544_552_609_631_652_663_690_719_751_768_781_804_831_846_857
12	87
15	289
16-year-old	184_227
2009	292
a	38_102_183_205_219_226_260_275_303_307_323_330_350_443_461_525_541_561_677_698_725_791_824
about	9_421_479_483_493
access	765
accord	745
across	411
afghan	228
after	233_278_408_832
against	104
agency	4
ago	277
agree	759
agreement	726
ahead	535
ak	469
ali	268
all	478
also	393_482
america	686
among	140
and	44_126_248_313_486_599_610_645_661_731_843
anger	139
another	286_409
ansbach	300
anti-doping	3_157
anything	583
approval	70
arm	807_809
arrest	182
as	498_500_524_685_740
at	315_322_714
athlete	56
attack	191_274
attacker	209
attempt	373
authority	158
baby	844
ban	17
bar	324
battle	595
bbc	504_854
be	7_110_159_198_204_212_240_250_252_339_349_378_405_416_424_427_442_458_471_522_549_557_560_582_588_591_629_635_656_672_675_704_746_775_779_848
becom	794
begin	270
behind	814
believe	143
bell	214
bernie	600_604_643
bethany	213
between	596_727
biggest	382
blast	308
bloomberg	671
board	651
body	73_587
brazil	152
bring	642
britain	797
bulit	821
but	385_456_481_568_584_623_653
by	380_429_574_637
campaign	640
can	64
candidate	543
catholic	563
cause	306_348
celebrate	450
center	120
chair	614
chance	444
christopher	782
city	282_299
clean	55
clinton	598_639_684
close	325
columbian	729
committe	48
committee	518_581
compete	65_150
complain	606
condemn	161_371
connection	186
contact	229
convention	538_718
convey	80
country	145
coup	374_415
cover-up	128
craig	29
crime	262
critical	706
cross	367_834
cuba	750
cyclist	798
damages	628
day	88
de	788
debbie	519_615
decision	50_136_165
decisive	174
declaration	679
defeat	417
defend	801
democracy	454_480_497
democratic	516_554_579_716
device	305
different	420
disappointed	8
discover	241
discrepancy	239
dnc	613
do	630
donald	708
doping	40_125
draw	747
during	592
effort	633
eligible	111
email	529_572
embrace	840
endorse	712
entrance	328
episode	655
equal	764
establish	107
evacuate	340
event	463
evidence	118
exercise	562
expect	673
explosion	320_352
explosive	304
expose	37
face	101
fail	257
farc	732_772
federation	99
female	780
festival	333
finish	806_836
first	366_796
for	54_445_682_790
former	665_699
four	829
france	789
freedom	488
friday	188_237
friend	206_220
from	19_397_466_545_852
froome	783_839
games	22
gas	351
gathering	377_556
german	177_281_298
give	113_735
go	90
govern	72_468
government	730
group	817
guarantee	737
gun	190_223
gunman	267
happen	321
have	12_36_81_137_146_170_181_301_338_344_361_404_618_634_703_723_758_763_784_819
he	14_203_243_249_646_805_811_833_841
head	513
here	211_548
hilary	683
hillary	597
human	484
immediately	232
impartial	586
in	42_66_130_151_185_192_194_242_291_359_364_507_624_749_808
individual	62_76
initial	342
injure	314
international	46
into	91_777
investigate	253
investigator	35
invite	472
ioc	59_134_163
istanbul	398
it	6_426_441_457
its	501
jon	550
just	86_460
kill	199_288_310
land	767
latest	850
lead	825
leader	11_169
leadership	175
leak	528
least	316
likely	657
line	837
main	431_816
make	636
man	224
manage	565
many	141
mate	813
mayor	294_666
mean	558_589
michael	670
million	647
minute	830
month	24
more	827
mr.bloomberg	696
mrs.clinton	713
munich	193
music	332
national	517_580
nations	722
new	668_692
news	505_856
next	23_688
nick	400
nine	196
no	147
nominate	540
not	459
now	100_251
of	71_74_94_207_221_256_283_295_329_336_355_357_387_453_489_496_514_536_571_648_667_680_707_742_771_826
official	465_753
olympic	10_47_168
olympics	96
on	121_236_254_650
one	311_406_423
opposition	383_432_462
orchestrate	127
organization	33
organize	124_379_428
over	527_607
part	363_395_741
party	368_384_392_433_439_470_531_555_717
peace	744
people	197_290_337_358_437
percent	770
person	312
plan	271_676
plank	621
planned	261
police	178_217_246_264
popular	331
president	28_389_689
presidential	542
press	491
previously	820
primary	594
program	41
prompt	138
protection	53
public	678
quality	495
race	103
rally	369_407
reawaken	659
rebel	733
recommondation	15
reduce	52
reedie	30
refuse	171
reintegrate	776
reject	13
release	573
repeatedly	608
report	83_259_343
republican	436_700
resign	523
richard	79
right	148_410
rights	485
rio	21_67
row	526
rule	60_391
russia	18_43_131
russians	63_109
sanders	601_605_644
say	5_31_167_179_202_218_265_302_695_754
schultz	521_617
sharply	705
shooting	235_273
side	757
since	413
slew	570
so	475_611
society	778
soldier	773
some	625
something	602
son	845
sonboly	269
sopel	551
southern	297
specific	736
speech	477
sport	77_98
stage	564
start	93
state	123
state-run	39
statement	244
states	156_510
story	851
strenuous	632
successfully	800
suggest	345_576
support	681
supporter	386_447_649
survival	452_502
suspicion	255_662
swift	160
take	173_362_394
team	812
teenage	287
ten	317_354
tension	660
than	828
that	61_309_346_425_577_603_760
the	1_20_32_45_58_69_92_95_114_117_133_144_154_162_208_216_222_234_266_272_280_296_319_327_347_365_372_376_381_388_414_430_435_451_467_476_487_490_494_508_512_515_537_553_578_585_593_612_620_627_638_664_691_715_720_728_743_755_786_795_802_815_835_849_853
there	403
they	75_180_201_231_446
third	792
thirty	769
this	82_422_569_654
thorp	401
those	847
thousand	335_356
threaten	530
time	105_793
times	694
title	803
to	16_89_106_116_149_172_230_245_258_326_370_449_539_559_590_641_658_674_738_766_799_823
too	448_473
tour	787
trump	709
turkey	360_412
two	756
un	752
united	155_509_721
unity	533_566
up	748_822
visit	279
wada	26
walk	619
washington	546
wasserman	520_616
way	626
weight	115
welcome	724
well	499
what	419
where	285
which	108_119_195
who	142_702
wide-scale	122
wife	842
wikileaks	575
will	51_711_762_774
win	785
winnenden	284
with	68_85_187_810
within	129
woman	739_761
world	2_855
year	276
york	669_693
