's	81_249_281_344_349_362_511_536_758_834
,	48_103_125_234_291_316_522_589_600_609_631_657_662_668_710_740_790_794
.	30_44_52_83_113_118_130_135_150_172_180_208_226_261_286_310_333_342_370_376_404_415_434_454_471_492_498_515_528_555_571_581_627_666_691_718_722_761_781_805_838_841
100,000	653
117	527
14	188
17-year-old	156_239
18,000	288
1998	704
30-year	698
472	521
a	65_75_142_155_164_195_200_203_220_238_246_366_461_558_566_647_674_680_688_697_711_723_734_766_791_796_814
about	287_586
abuse	829
acclamation	102
accord	227
accuse	359_426
across	365_402
action	478
adopt	35
afghan	157_240
after	15_194_216_356_582_812
again	120
against	612
aging	512
air	318
akin	322
all	468_602
allow	19_71
along	786
already	412
among	311
and	187_215_294_635_682_795
answer	664
anti-missile	487
anti-trump	109
any	337
appear	325
argument	593
army	675_743_792_822
arrest	300
as	38_57_84_245_419_548
ask	639
asylum	247
attack	160_197_217_259_649
attacker	236
attempt	283
authority	670
avail	129
axe	201
back	545
balance	355
ballistic	445
ban	389
bavaria	229
bbc	497_839
be	13_17_32_54_99_105_132_138_177_184_190_211_222_237_260_273_284_297_307_352_358_388_398_413_417_525_532_598_610_638_643_695_731_745_749_777_784_808
behind	257
berlin	176
bishop	684_706_803
blame	819
both	632
briskly	660
britain	501_535
but	126_601
by	101_144_213_329_534_561_733
byron	692_726
call	94_96_533
candace	719
candidacy	26
capable	650
captain	744
catholic	683
chairman	86
challenge	77
change	67_619
chant	121
chase	212
cheating	364
city	169
claim	614_728
clear	252
cleric	807
cleveland	46
coast	453
cold	625
colonel	793
come	242
commander	320
commit	830
commons	580
compete	391
conflict	837
conservative	543
convention	3
convict	677_785
cook	50_134
corbyn	565_637
correspondent	174
could	387
countless	583
country	510_833
coup	282_306
court	327
cover	399
crowd	56
damien	178
day	303_622_811
dead	225
debate	585_630
declare	87
defeat	100
delegate	16_110
delegates	31
demand	90
deny	336
deploy	594
deployment	484
deputy	406
deterrent	514_608
die	686
direct	428
discipline	403
disrupt	14
donald	28_60
doping	397
down	309
drug	771
due	33
during	831
early	628
eastern	452
enable	464
entire	384
erdogan	267
evening	149
evidence	395
expect	139
face	379
fail	62
familiar	599
father	789
favor	506
figure	422
finally	667
fire	443
follow	278_394_574
for	91_122_192_518_700_725_823
forbid	765
force	64_319
former	742
four	161
free	559
from	45_374_390_430_495_603_769
games	351
gang	736_768
general	321_335
gerardi	709_804
germany	153_207_244
give	557
guatemala	672_757
guatemalan	821
have	12_70_98_116_159_183_189_268_296_324_411_442_460_502_531_618_685_694_730_748_783
he	145_272_275_416_663_729_762_776_779_788_818
herrmann	233
house	578
human	827
if	640
immigrant	158
in	8_152_175_205_301_326_339_346_353_392_423_479_489_500_505_576_595_629_671_687_703_756_772_816
independent	607
injured	186
inmate	755
interior	230
into	447
introduce	141
involvement	338
it	117_357_455
its	313_383_451
jail	739
james	49_133
jeremy	564_636
joachim	232
jose	708
juan	707
judge	295
key	421
kill	652_679_809
knife	221
korea	441_470
korean	437
labor	553
last	279
later	41_147
launch	646
lawyer	724
leader	315_563
leave	526
libelous	285
lima	693_727_782
long	835
man	196_210_798
many	590
mark	328
may	541_634
mcguinness	179
military	292_438_716_836
minister	231_408_539
ministry	433
missile	446_459
month	348_473
more	656
moscow	375
most	753_824
motion	547
motivation	256
mount	74
mp	499_554
mr.	36_136
murder	702_801
nagornykh	410
name	418
national	2
nay	524
near	166
new	537
news	494_840
next	347
no	128_665
nomination	82
nominee	40
north	440
not	18_250
now	378
nuclear	513_569_587_648
number	551
of	4_27_59_170_312_360_368_427_485_507_552_568_579_591_606_623_651_678_705_713_751_799_802_825
off	450
officer	218_290_676
official	151
ohio	47
olympic	350_385
on	163_202
one	597_750
operation	429
opponent	58_277_567_712
opposition	23
or	299_655
out	112
outspoken	681
overwhelmingly	504
ozturk	323
pandemonium	106
participation	345
party	7_544
passenger	198
people	162_182_654
personnel	293
piette	720
plan	483
police	214_289
political	276
powerful	754
prepare	644
president	264
previous	584
prime	538
prison	689_759_774
proceedings	575
prospect	381
publish	813
punish	274
put	308
pyongyang	474
rainsford	372
range	367_462
recent	331
recently	764
recep	265
regime	717
register	21
renew	508
report	51_373_425_721_746_815
republican	6
response	480
right	520
rights	828
rio	393
riot	690
rival	735_767
roll	95
rule	66
russia	343_377
sarah	371
say	154_269_439_456_659_673
sea	449
seeker.it	248
sell	770
sentence	699_780
seriously	185
serve	696_778
set	611
several	330
she	658
shock	193
shoot	224_732
since	304_620
so	93
some	55_108_119
south	436_469_491
southern	168_206
speech	143
sponsor	363
sport	369_407_432
state	361
states	11
storm	111
strike	467
suggestion	270
suppose	314
suspend	298_414
symbolic	76
symonds	573
system	488_760
systematically	401
take	477
tayyip	266
team	386
that	88_131_271_382_396_457_556_615
the	1_5_9_25_79_85_89_92_114_123_167_209_235_255_258_262_302_305_317_334_340_354_380_405_420_424_431_435_448_458_482_490_496_509_516_519_523_529_546_550_577_592_604_613_616_621_624_669_701_714_738_741_752_773_800_806_820_826_832
then	223_715
there	53_104
theresa	540_633
they	22_39_72_465_562_641
third	797
this	42_148_472_596
though	253
threat	475_617
three	181_444
to	20_24_34_63_73_78_127_140_228_243_466_476_481_549_645_747
tom	572
train	165_204
treat	191
trump	29_37_61_137
turkish	263
two	810
tycoon	80
united	10
up	400
uprising	341
us	486
virtue	605
vote	97_124_503_530_560
war	626
we	173
weapon	570_588
week	43_280
what	254
where	775
which	68_463_817
who	241
whose	542
wife	146
with	107_199_219_787
within	737
world	493
would	69_642_763
wound	332
wurzburg	171
yea	115_517
yes	661
yet	251
yury	409
