's	139_257_341_377_445_547_606_629
,	72_137_267_276_310_353_396_451_478_521_611_632_644_671_674_705_720_783_791_810
.	22_38_61_65_87_119_153_187_208_223_240_255_299_319_334_339_366_385_414_439_460_487_506_512_529_549_566_592_608_617_647_664_668_684_700_713_729_749_762_780_806_814_821_837_847_850
1.9	248
60	690
60,000	214
a	12_91_115_165_263_279_317_386_397_418_653_687_716_726_732_752_793_804
about	652
accept	763
access	435
acrimony	15
act	588
afhanistan	426
after	11_831
against	586
agenda	413
ago	186
aim	522
al-abadi	159
alexander	479
alexis	26_123
all	235_440
alternative	434
ambition	373
amount	246
and	8_14_95_106_189_199_253_331_380_429_431_468_472_526_579_695_725_796_812
angriest	682
announce	161_539
approve	5
argue	270
arm	546
army	188
arrive	307
as	73_599
asia	438
asset	239
at	636_740
athens	51_109
attack	694
austerity	20_76_779
austria	444
authority	202
award	635_765
axa	229_256
back	363
bailout	135
barcelona	784_822
barley	748
bbc	511_848
be	42_99_112_125_193_210_220_221_262_296_321_336_348_358_368_406_409_449_455_483_502_533_552_651_686_731_771_834
beat	808
begin	516
bellen	482
benefit	663_703
between	327
beyond	430
big	166
billion	249
blake	646_673_685
block	594
boost	332
border	403
both	815
bound	254
brazilian	569
british	620
building	71
business	383
but	268_354_452
call	459_613
candidate	464
cannes	637_741
carpenter	654_688
central	437
century	295
chabahar	395
city	172_198
civilian	205_215
claim	288
close	400_457
come	817
commitment	37
company	228
complete	792
confident	43
contain	213
copa	788
cost	266
could	416_696
count	450_503
country	330
creditor	46_150
cup	797
d'or	631_739
dangerous	776
daniel	645_672
day	83
de	577
deal	136_390
debate	17_86
decade	318_733
defense	525
del	789
der	481
develop	728
development	393
direct	441
director	622_756
divert	232
dollar	250
double	798
doyle	666
drama	642
earlier	203
economic	7_36_325_527
election	447
embargo	548
emergency	16_85
end	561_840
england	657
equity	252
estimate	211_286
euro	44
eurosceptic	469
executive	258
expand	375
extra	819
fallujah	174_209
family	219
far-right	467
festival	639
fighter	178
film	621_638_650_683
financial	9
first	312
five	143
follow	81
football	782
for	391_421_614_742_799
forge	381
former	474
four	82
freedom	470
french	242
from	175_234_423_509
fund	50_60_118
further	19
game	842
gather	67
get	361
give	432
givering	338
goal	816
goods	94_422
government	532
gradually	111
greece	33_138
greek	2_107
green	475
grip	774
group	754
haider	158
hail	410
have	4_160_192_306_448_490_501_515_570_625_677_692_707_785
he	39_41_129_146_320_371_517_615_648_661_681_706_714_750
head	602
health	284
heart	693
here	335
herself	721
himself	712
hofer	462
honor	34
hope	534
hundred	289_495
i	643_670
in	142_272_278_308_411_443_485_582_596_609_655_669_757_772_781_803_818
india	301_340_376_428_433
indian	388
influence	379
insurance	227
international	58_149_351
introduce	100
invest	277
investment	333_389
iran	309_344
iranian	398
iraqi	155_201
islamic	176
it	181_231_367_415_730
its	35_236
itself	233
janeiro	578
javier	832
joe	337
join	751
july	152
just	844
keen	359
ken	623_675_766
kitty	719
knell	63
land	424
largest	226
last	151
lastest	584
latest	75
leader	477
league	795
leave	207
life	293
lifing	541
likely	407
loach	624_676_735_767
loan	55
log	425
long	13_274
longer	698
madrid	813
major	387
make	678
man	830
many	216
march	601
mascherano	833
match	827
measure	21_77
meet	715
michel	590
militant	222
military	167
million	291
minister	25_122_157_303
modi	305_357
monday	505
monetary	59
more	182_315_759
most	824
mother	718
mr	356_536_550_604
multinational	243
narendra	304
near	689
neck	484_486
need	52
new	116_382_649
news	508_849
next	103
nine	845
no	697_708
norbert	461
northeast	656
not	98
now	48_355
obama	514_537_551
of	84_93_134_164_173_217_251_290_292_370_394_465_496_498_519_542_562_568_575_680_723_755_775_778_825
off	836
on	18_90_364_504
once	761
one	679
operation	168
organization	285
outcome	30
outside	68
over	101
pakistan	405
palme	630_738
parliament	3_70
part	369
partial	544
partnership	384
party	471_476
play	823
player	846
police	190_593
polo	581_598
port	399
postal	499
poverty	724
president	513_556
presidential	446
presidnet	589
prime	24_121_156_302
privatisation	117
product	280
project	777
protest	585
protester	66_612
provide	417
range	92
recapture	170
reform	10
reinforcement	191
related	238
relation	342
relationship	362_727
repay	54
report	64_667
residence	607
resignation	616
result	454
retain	660
rey	790
rio	576_610
rise	89
road	595
route	420
row	805
run	275
sanction	352
saul	580_597
say	28_40_108_230_244_259_768
sea	419
season	802
second	801
seek	322
seize	180
send	194_835
service	96
several	6
sevilla	809_839
shake	746
short	264
show	31_128
simply	297
since	559_734
single	717
small	753
spanish	794
start	163
state	177_662_702
stick	130
strategic	378
street	574
strengthen	324_524
strike	147
struggle	658
such	313
suffer	345
support	711
surround	196
take	571
tax	88
teheran	347
temer	591_605
ten	829
term	133_265
terrify	722
th	841
than	183_316_760
that	32_145_271_535_745
the	1_23_29_57_69_74_102_120_132_154_162_171_197_200_218_224_241_273_282_300_311_328_392_402_412_453_463_466_473_494_510_530_540_543_553_560_563_573_583_587_600_618_633_641_737_743_747_764_769_773_787_800_826_838
there	260
they	269_488_807
third	140_141_554
this	245_294_627
thousand	497_567
through	80
tie	326_528
time	820
to	53_56_114_127_131_169_195_206_212_247_323_360_374_401_408_427_436_458_491_523_557_572_603_659_710
tobacoo	237
too	456
top	634
tough	350
track	365
transfer	113
try	126
tsipras	27_124
tunnel	811
two	104_184_329
under	349
unlock	49
unsustainable	298
until	493
us	545_555
van	480
veteran	619
vietnam	520_564
vietnamese	531
vincent	665
visit	314_518_558
vote	79_442_500
wait	492
war	565
warn	204
way	709
when	346_701
which	281
who	179_691
wide	372
will	47_78_97_110_261_287_489_538
win	626_736_758_786
wind	744
with	148_343_404_640_828_843
withdraw	704
work	699
world	225_283_507_770
year	105_144_185_628
yolande	62
zone	45
