's	604
,	201_206_251_254_261_492_731_738_760_791_823_825
.	21_38_55_69_93_109_117_130_145_155_180_214_223_241_266_273_279_289_300_322_363_370_378_395_413_452_473_498_508_532_557_581_610_648_687_708_728_745_769_801_821_837_841
15	781
17	783
70	3
93	804
a	12_22_26_30_33_185_238_244_295_339_389_426_453_485_516_525_529_549_563_573_582_617_635_642_645_752
access	600_634
accord	94
africa	786_815
after	306
against	682
age	812
aged	779
agreement	753
al-nusra	705
already	325
american	517
and	127_169_195_227_255_338_400_406_419_432_446_466_494_548_703_746_782_809_826
andy	57_221
anglais	92
announce	309
announcement	564
anti-terror	282
any	436_796
appeals	583
appear	386
approve	346
as	56_104_107_616_639
ask	184
assistance	437
at	25_73_729_773
attack	13_153_240_302_332_369_392_445_497_578
authority	111_599
barack	380
basically	158
bastile	78
bastille	34
bbc	507_838
be	5_9_71_115_119_148_157_192_236_243_248_269_275_293_326_345_388_402_464_484_496_500_559_614_657_718_735_748_755_763_787_831
becca	372
before	49
behaviour	247
between	780
bring	447
british	457
bullet	144
but	347_570_709_761
by	220_333_468
can	593
candidate	539
case	647
celebrate	490
celebration	80
channel	519
child	806
christian	232
city	18
clear	765
clearly	237
cloud	624
colin	146_215
come	303
computing	625
concern	467
condemen	367
condemn	382
conduct	737
conference	575
conflict	822
continue	45
controversial	671
coordinate	678_740
council	479
country	609_676_724
court	584
crisis	296
crowd	31_62_86_260
day	35_79
dead	54
decision	527_612
deliberate	239
democratic	420
department	628_690
des	91
discuss	694
display	37
do	758_816
donald	480_512
drive	24_257
driver	53_98_114
drug	646
due	560
earnest	715
educate	829
education	820
emergency	314
end	75_217_318
entire	430
equality	493
estrosi	233
european	478
extend	327
extentsion	343
extraodinary	417
family	405
few	186
fighter	707
final	526
finally	196
firework	36
firm	603
follow	576
for	46_66_455_619_673_795
force	595
formal	819
former	228
france	316_425
francois	291
fraternity	495
french	17_110_434
friday	569
from	133_376_471_505
front	162_706
further	340
get	122_197
girl	830
give	598_836
go	193_205
government	592
governor	545
grenade	278
guarantee	720
half	775
happen	768
have	8_63_209_284_324_344_366_373_423_514_521_588_613_631_656_658
he	121_125_140_256_262_384_396_398_414_520_571
hell	191
high	27
highest	793
hit	103
hold	294
hollande	292_308
horrific	390
hour	305
house	712
hundred	172
image	132
in	11_14_149_161_167_298_315_336_360_393_509_565_579_585_607_637_660_685_784_789_798_807_813
increase	698
indefinately	362
indianna	547
individual	245
inspiration	427
into	29_258_644
investigate	443
investigation	288_643
ireland	638
islamic	334_683_701
it	235_242_274_323_351_483_762
john	654
josh	714
just	160_304
justice	451_630
keep	357
kerry	655
kill	10_116_412
kilometer	48
later	319
latest	502
laura	371
leader	365_664
least	774
liberty	491
life	68
load	270_276
located	606
look	177
lorry	23_268
love	408
make	354_424_524_562
many	105
mate	531
may	440_461_754
mayor	229
measure	359
media	533_668
meeting	297
member	550
microsoft	596
mike	542
militant	684
militants	335
military	680_741
million	805
minister	459
mohr	58_222
month	321_342
more	1_802
moscow	661
mount	84
movement	556
mr.trump	558
name	541
need	203_441_696
new	566_586
news	504_511_574_840
nice	20_40_150_168_231_394_472_580
no	719
not	353_522_594_736_764_788_817
november	337
now	59
obama	381
of	19_76_124_139_163_187_230_313_410_476_546_551_623_629_641_652_776_833
offer	433
officer	283
official	435
old	165
on	88_194_528_568_665_700
one	198_409
operation	681_742
or	739
other	407_510_608
out	123
over	286
padestrian	106
panic	72_178
paradox	487
paris	299_331
part	640
party	555
pavement	87
pence	543
people	4_173_489_778
place	361
plan	253
police	50_208_265
possible	108
postpone	572
poverty	824
pray	415
prayer	401
precedent	618
premeditated	250
present	730
president	226_290_307_349_379_475
presidential	538
pressure	699
primary	808
prime	458
privacy	622
promenade	90
proposal	672
prosecutor	41_280
protect	620
rate	794
reach	756
reason	835
receive	818
region	797
regional	225
report	6_60_120_219_375_534
republican	537
resilience	418
resistance	827
responsible	449
riddled	142
right-wing	553
rule	589
run	65_174_213_530
russia	744
russian	663
say	42_112_200_234_281_350_385_397_462_482_669_691_716_771
scene	135_470
school	790_811
secondary	810
secretary	651
see	170_615
sense	355
server	605_636
services.the	626
several	100_171
she	463
shock	465
shoot	51_263
shooting	129
show	136
since	81_329
sit	159
so	759
some	749_832
southern	16
speculation	750
speed	28
spokesman	454_713
srivastava	147_216
start	128
state	312_653_689_702
states	734
stricken	179
sub-sahara	814
sub-saharan	785
suggest	535
swerve	99
syria	686
take	285
talk	659
tea	554
television	131
tell	210_515
terrorist	391
than	2_803
that	199_218_310_422_438_577_590_692_721_751_766_772
the	15_39_43_52_61_74_77_82_85_89_97_113_134_137_152_164_190_207_224_259_264_267_287_301_311_330_348_358_368_404_416_429_444_456_469_474_477_488_501_506_536_544_552_602_611_621_649_674_688_695_704_710_722_732_792_799_834
there	70_118_717_747
theresa	460
they	67_188_439_679_693
this	320_374_499
those	411_448
thought	399
three	341
time	101
to	7_64_95_102_183_204_212_356_387_428_442_450_561_597_601_633_677_697_757_828
together	727
totally	249_252
towards	175
town	166
tragic	486
trcuk	83
truck	141
trump	513
try	182
tusk	481
tv	518
twice	328
two	47_675_723
unesco	770
unfold	154
united	733
us	591_627_650_667
value	421
vehicle	44_126
want	632
washington	377
watch	32
we	156_176_181_211_670
weapon	272
what	189_383_666
when	151
white	711
whose	246
will	540_767
window	138
with	143_271_277_403_662_743
witness	96
work	726
world	364_431_503_800_839
would	317_352_725
yet	523
york	567_587
you	202
young	777
