's	124_517_639_652_676_734_766_773
,	82_387_410_416_596_828
.	26_43_64_68_101_127_154_193_200_218_235_245_259_274_282_308_325_347_366_382_425_440_470_492_504_510_529_556_570_584_602_608_614_632_649_674_687_709_724_755_782_808_834_858_861
1	693
20	579
a	61_86_172_211_256_306_322_326_348_479_511_539_573_682_705_791_809_822
absolutely	195_221
accept	548
account	25_303
administration	432
affair	94
after	69
agency	467
alfredo	536
allegation	298_314_318
allow	790
american	128
among	646
and	74_77_95_107_116_163_178_270_315_357_376_383_397_563_568_641_737_852
anne	155
announce	8
anti-doping	456_466
anticipate	153
antonio	722
area	678
artificial	783
as	623_770_831
assume	249
at	204_401_515_621
attack	587_617_664
august	491
authority	42
autonomous	826
award	697
away	807
ban	482_823
bbc	509_859
be	48_111_147_169_182_198_210_241_251_277_286_329_355_361_371_420_427_434_559_605_611_625_645_660_679_718_739_761_802
because	407
become	681_764
before	459
begin	391
big	257
bigger	268
biggest	767
birth	176
bit	212
body	520
both	113
brazilian	283_374
bribe	555
british	2_28
broad	173
broadcast	564
but	500_665
by	463_811
call	820
cameron	6_84
can	247_379_389
captain	640
capture	703
cargo	589
carry	606
cartel	736
center	159
challenge	769
change	381_386
charge	526_842
chemical	607
chief	643
clan	729
coast	593_677
cocaine	749
colombia	688_752_765
combat	846
committee	285
comply	854
condition	422
conflict	776
congress	343
congressional	284
constitute	321
continental	233
contract	185
control	162
controller	838
corruption	22_528
count	583
country	438_454_772
crew	601_659
crime	760
criminal	706
current	353
damaging	72
dario	721
david	5_83
day	70
deadline	461
debate	287
decade	806
defect	177
defense	89
deficit	307
delta	631
deny	312
dilma	295
disease	161_187
do	104_224_319
dollar	553_695_747
double	690
down	781
during	845
each	582_753
emerge	53
end	403
engineer	644
ensure	451
everything	201
excuse	480
executive	514
expect	272
expert	756_785
face	572
fairly	503
far	148
fifa	535
financial	119
football	518
for	15_160_188_243_566_581_685_698_720_741_821
force	716
former	512_531
forward	365
four	525
from	485_507
future	396
games	489
gang	707_759
give	477
go	253_332
govern	424_519
government	100_109_302_354
guilty	523
harder	14
harvard	817
have	7_32_47_103_131_152_168_255_266_267_311_380_446_521_547_586_668_689_730_786
haven	34
hawit	537
he	55_91_99_102_108_448_453_474_493_495_546_571
headline	73
health	129
hide	18_305
hold	58
hope	222_368
hot	683
house	341
human	800_812_837
hundred	549_743
hunting	719
if	411
impact	138
impeachable	323
impeachment	292_360_370
important	372
improve	112
in	23_60_121_143_231_414_421_436_490_541_554_612_662_815_841_847
increasingly	680
information	38_670_699
initially	216
injure	661
insinuation	76
intelligence	784
international	856
involvement	801
it	13_52_273_279_412_417_624_738
juan	711
judge	540
kenyan	442_483
kenyatta	445_472
kidnap	648
kidnapping	597
kill	797
killer	832
know	261_830
lagos	613
late	620
later	344
law	818_857
lead	700
leader	708
left-wing	778
legislation	457
lethal	825
life	851
light	400
likely	762
link	170_560
local	229
long	774
longer	189
look	203_393
lower	340
majority	328
make	12
manipulate	301
manuel	712
marketing	562
martin	609
mass	120
match	569
measure	10
media	81
mexico	733
million	694
minister	4_46
month	469
most	27
mount	85
mr	471
much	75
navy	635
nearly	692
need	196_237_330
new	9
news	506_860
next	335_468
niger	630
nigeria	595_675
nigerian	634
night	622
no	669_799
none	656
not	225_248_252_320_419_476
nothing	105
now	36
of	21_71_90_98_118_136_139_157_175_293_337_342_404_430_527_534_550_552_576_594_599_657_696_704_744_746_748_751_843
off	591
offense	324
official	130
offshore	24_62
oil-rich	629
olympic	488
on	79_671_824
only	363
opposition	349
or	796
order	848
other	263
out	750
over	297
oversea	125
overseas	29
owner	654
paralyzed	356
pass	455
patience	610
payment	558
people	16_478
personal	92
personally	450
piracy	686
pirate	585_616
plead	522
police	725
politician	350
power	415
predict	757
pregnant	180
preprogrammed	792
presidency	409
president	294_309_443_533_710
pressure	50
prevention	164
previously	191
prime	3_45
prison	574
problem	258_269
proceeds	20
range	174
rather	804
ready	199_242
really	390
rebel	779
recommend	290
record	97
remain	413_840
report	67_810
responsible	740
rights	565_813
rio	487
rob	65
robot	793_833
robust	88
rousseff	296_310
runner	484
santos	713
save	850
say	165_351_447_473_494_636_655_714_726_836
scarier	213
school	819
schuchat	156
scrutiny	117
security	715_768
see	226_435
seem	208
senior	513
sentence	575
seriously	281
set	462
share	37_59
she	300
ship	590_619_651
shoot	795
should	839
simple	327
sinaloa	735
since	51
six	598
smuggling	742
so	219_275
social	80
society	375
sometimes	829
speculation	78
spot	684
spread	135_228
stage	336
standing	775
state	239
states	146_544
take	278
tax	33_93
technology	789
tell	538
territory	30_126
than	190_214_805
that	31_54_133_150_179_244_299_358_377_426_452_545_663_666_758_788
the	1_19_40_44_96_114_122_134_137_140_144_158_166_186_232_238_291_313_317_334_339_352_359_362_369_395_399_402_405_428_431_441_460_464_486_508_530_542_557_592_600_603_615_618_628_633_637_642_650_658_702_727_771_816
they	151_497_667_672_835
think	192_217
this	206_345_385_408
those	647
thousand	551_745
through	627
tie	731
to	11_17_57_171_184_197_209_240_254_289_304_331_333_373_392_394_398_423_481_498_501_524_561_578_691_701_763_794_849_853
today	439
tournament	567
tragedy	429
transmit	230
transparency	115
travel	626
trust	63
tunnel	406
turkish	588_653
typically	87
uhuru	444
uk	41_123
under	49
united	145_543
up	577
urge	316
us	234
use	56
usuga	723_728
very	280
vessel	604_638
vice	532
virus	142_167_207_264
vote	338
vulnerable	183
want	496
warn	132_787
watch	814
watson	66
way	364
we	194_202_215_220_223_236_246_250_260_265_271_276_367_378_388_433_437
weapon	827_844
week	346
well	458
whereabouts	673
whether	288
wide	227
wider	149
will	35_418_449_717
win	499_502
wind	780
with	39_205_262_384_732_777_798_855
woman	181
world	465_505_516
would	110_475
wrong	106
year	580_754_803
zika	141
