's	42_241_440_476_491_559_653_740_787_794
,	11_184_188_206_226_243_246_264_269_281_283_426_456_463_487_493_621_637_645_665_676_679_704_806_810
--	259_306_743
.	24_44_48_66_85_107_117_131_141_159_177_204_238_252_273_295_301_314_350_373_378_383_402_416_433_466_484_504_534_549_574_590_604_634_656_695_708_720_752_773_792_820
165	532
1997	616
20	455_631
2016	750
62,000	164
76	603
a	4_21_33_37_76_82_88_92_111_126_249_279_296_315_342_395_510_523_578_627_638_712_762_802
abbas	595
abject	290
about	649
access	200
affect	567
after	330_522
age	601
aghast	73
ago	365
aid	203
air	716
akrami	636
al-sadr	536
alan	45
all	498
almost	86
among	336
and	118_149_198_292_302_328_366_389_446_460_780_790
another	121
antithesis	699
apart	272
applause	781
arabia	10
arnarholl	772
around	68
as	61_147_194_196_275_394_421_423_489
at	171_530_599_610
attack	341_452_483_526
back	230
baghdad	528
balkans	589
bangladesh	322_475
basically	698
bbc	355_509_648_821
be	2_3_28_72_110_170_228_287_299_309_335_369_385_464_470_496_697_711
beat	814
become	667
before	808
begin	630
bengali	356
bitterly	518
bloc	573
bomb	525
bomber	35_58_90_123
bombing	15
breath	713
britain	558
bus	764
but	413_427_499_807
by	114_766
cafe	343
call	189_247_546
cannes	612
capital	346_733
career	628
carry	449
catastrophe	251_298
centre	730
chant	789
cheer	779
cherry	620
cinema	719
city	53_104_224_760
cleric	514
clothing	468_485
come	277
commitment	569
committee	209
company	469_486
consulate	128
coordinator	181
could	392_425_429
country	100_739
criticise	519
cross	213
cup	817
d'or	609_664
damascus	183
day	23_579
death	176
december	237
decision	560
defeat	803
demand	540
destruction	220
detonate	36_91
device	38_93
dhaka	347_482
die	598
director	594
do	380_393_401
drone	216
drumbeat	791
drummer	767
earlier	120_633
eastern	103
el	186
end	280_798
england	819
essential	500
eu	564_583
euro	749
evacuation	193
even	274
everyone	313
expand	571
explosion	5
facebook	443
fall	135
family	270
father	396
fear	291
feature	624
festival	614
film	593_613_625_640
filmmaker	672
find	398_431
first	795
follow	480_577
footage	217
football	741
for	190_201_312_585_617
foreign	458_467
former	815
four	25_168_414
france	805
francois	553
french	551
fresh	715
friday	349_445
friend	652
from	50_231_317_507
garment	478
gather	727
get	310
giant	745
go	404
good	651
govern	319
government	521
greatest	671
greet	775
group	140_235_437
grow	783
happen	79
hard	377
have	64_78_151_214_255_323_367_517_555_597_726
he	326_333_358_384_399_417_424_428_432_545_575_605_650_658_666_692_696_709
help	420
hill	770
hillo	187
hollande	554
hollywood	702
holy	52
home	362_408_737
hostage	459
huge	477
humanitarian	202_250_297
hundred	260
i	374_379_391_400_403_677_705
iceland	793
icelanders	725
icrc	240
illegitimate	148
immediate	197
imtiaz	351
in	6_8_17_20_30_80_101_129_153_156_167_182_221_236_289_321_344_370_453_474_502_515_527_587_615_642_660_673_681_717_728_761
industry	479
inevitably	134
international	208_654_718
into	784
investment	473
iranian	592_639
iraq	516
iraqi	223
iraqis	538
islamic	138_233_435
islamist	338
it	142_150_248_448
jamshid	635
japan	490
jeddah	130
johnston	46
just	60
khan	352
kiarostami	596
kill	29_263_465_529
killer	746
kingdom	19_155
lead	511_765
leadership	146
learn	331
least	531
leave	361_562
level	258
live	288
major	796
make	303_755
many	282_284
maurer	245
mean	678
meanwhile	205
medical	192
medina	7_31_55
membership	584
might	706
militant	339
million	265
minister	410_548
mistake	305
month	364
mosque	43_112
mostly	457
move	268
movie	693_703
much	119_382_422
muqtada	535
muslim	513
muslims	67_116
my	386
nations	162
near	39_125
negligent	547
news	506_822
no	304
not	368_411_430_566
of	54_98_105_173_210_261_325_543_580_602_619_626_669_684_700_714_722_724_731_747_771
office	409
officer	27
on	94_136_266_348_442_444_582_799
once	412
one	668
only	387
open-top	763
ordinary	285
other	96
out	450
palme	608_663
party	320
past	158
people	286_533_680
peter	244
picture	441
place	84
player	754
policeman	462
politician	316
post	438
present	694
president	242_552
professor	641
prophet	41
qatif	106
ramadan	276
ramadi	225
reach	256
red	212
regard	143
relate	689
release	215
remark	576
report	16_47_49
resident	180
resignation	542
response	503
rest	683
review	471
reykjavik	734
risk	172
rohan	360_439
sacred	83
saudi	9_145
say	56_163_447_494_556_707
security	26
see	406
service	357
set	65
seventh	623
shame	329
shia	115_512
show	218
side	97
sign	812
simultaneously	87
since	372_657
single	22
situation	308
six	363
so	376_381
son	334_359_388
sorrow	327
speak	324
start	687
starve	174
state	139_234_436_586
strike	59_124_152
success	655_659
such	75_81_488
suffering	254
suicide	14_34_89_122
sun	63
sunday	800
supporter	774
suspend	497
suspicion	132
syrians	165
take	229
talk	581
target	109
taste	618
team	742_786
tear	271
tell	353_646
ten	721
terrifying	293
that	74_332_557_782_809
the	12_18_40_51_57_62_69_95_99_102_108_137_144_154_157_160_178_207_211_219_222_232_239_253_267_307_318_337_345_354_407_434_451_481_508_520_541_550_563_568_572_588_591_600_607_611_622_643_647_662_670_674_682_685_701_729_732_738_744_748_753_759_769_785_811
there	1
they	472_495_756_776
thing	77
third	13
thousand	262_723
through	758
time	415
to	175_278_397_405_419_539_561_570_688_690_735_768_804_813
touch	371
tournament	751_797
town	169
trap	166
travel	501
try	375_418
two	461
un	179
uncertainty	294
unconditional	199
unfold	300
uniqlo	492
united	161
unprecedented	257
urge	537
urgent	191
us	127_644
use	113
viking	788
way	757
weekend	524
welcome	736
well	195
what	544_691
whatever	390
when	32
which	227_454_629
who	340
wild	778
will	133_565
win	606_661
winner	818
with	777_801
work	710
world	70_505_675_686_816
worse	311
would	71
yacoub	185
year	632
