%	395
's	65_177_200_307_332_480_485_718
,	29_131_266_341_345_371_536_543_565_615_674_679_683_778
.	22_38_62_73_96_113_148_164_183_208_212_228_241_249_263_274_296_312_319_336_356_379_401_420_439_451_461_488_520_526_560_591_622_643_650_670_702_723_743_763_787_805_814_819_826_848_862_880_885
10,000	229
1967	813
2/3	43
2008	497
246	190
2500	205
46,000	532
5,000	232
50	394
7.5	475
a	35_55_100_128_155_161_286_380_409_472_510_562_574_608_617_648_653_695_706_734_740_843
abdel	632
about	756
abuse	642_728
account	125
accusation	104
accuse	120_853
across	93
act	589
action	667
affect	239
after	471_626
against	18_613_657
ago	559
agreement	287_481
aid	618
air	464
airline	490
al	328
all	346
allegation	726
allow	411
already	852
also	690
always	782
america	64
amid	154
amnesty	527
among	351
and	83_107_160_167_202_231_270_353_357_372_386_436_502_509_534_541_665_687_871
annex	817
answer	699
any	91_711
apartment	268
appalling	547
appear	299
approve	15
area	240
argue	428
as	222_366_499_659_661_733
assert	669
at	217_675
attempt	713
attend	316
avoidable	575
ban	830_864
bbc	525_881
be	10_32_69_98_99_118_139_169_192_206_216_236_251_334_364_368_374_404_426_515_544_579_580_598_606_624_636_637_646_652_663_668_673_689_720_770_821_823
because	391
become	261
benjamin	754
big	85
bin	326
block	269
board	517
border	556
brazil	9
brazilian	60_74
bridge	265
build	90
business	513
but	132_440_616
by	34_142_582_736_750
cabinet	799
call	573_739
capture	807
cast	28
child	542
city	92
clear	262
close	416
closure	553
coast	419
coastal	434
collapse	264
combate	620
comment	792
condemn	748
condition	548
conference	709
congress	7_89_136
constraint	649
consult	350
continue	170
corruption	106_162
counterpart	631
country	95_348_587
crisis	159_577
criticize	638
curb	483
daybreak	254
death	214
debate	72
decade	182
decisively	590
deficit	130
delegation	511
deploy	237
detention	841
determine	666
devastation	260
die	197_839_879
difficulty	304
dilma	20_115
diplomatic	768
direction	378
dishonesty	108
dismiss	725
dispute	803
do	314
drilling	388_412
drive	293
drop	152
early	245
earthquake	180
economic	158
ecuador	176
editor	66
effort	224_769
egypt	600
egyptian	630
el-sisi	634
eligible	397
end	773
energy	321
environmentalist	421
eu	503_586
evening	248
ever	797
every	700
evil	741
exacerbate	581
expect	219
export	280
expression	686
fact	692
fail	283_390
failure	584
fattah	633
fellow	874
fight	612_656
first	463_796
flatten	267
flight	466_493
follow	70_477_551_842
for	173_181_639
force	742
formal	56
formally	119
france	465
francois	595
freedom	680_684
freezing	289
french	506_593
from	109_337_523_810
fundamental	367
gambian	835
gap	473
gas	387
gathering	277
get	225
glas	188
golan	760
government	147_442_453_746_855
greece	550
group	569_712
grow	129
guarantee	664
habitat	435
half	25
hand	786
