's	94_151_156_168_200_246
,	42_46_98_289
.	6_24_60_84_111_132_154_165_188_196_223_243_286_323_332
10,000	191
110,000	175
2011	23
a	7_30_39_43_47_107_208_218_224_252_314
access	122
address	76
administration	169
admit	174
after	205_256_312
ago	311
aleksander	274
american	291
and	17_29_51_91
announce	171
applaud	114
as	106_162
association	273
assurance	315
at	104
attorney	134
ban	263
bbc	1_330
be	69_102_113_120_190_216_231_238_241_262_276_277_325
beat	280
begin	141_185_308
body	248
bradley	287
brexit	110
britain	11_78_93
british	16
but	99_220
by	148
call	145
campaign	157
can	119
ceferin	275
charitable	152
classify	296
commission	66
common	124
condition	222
crisis	45
criticize	14
day	310
decision	95
dismiss	159
doctor	197
donald	149
dutchman	282
elect	251
end	303
eu	83_101
eufa	249
european	65_88_244
file	297
first	72
fiscal	183
five	309
football	245_265_272
for	266_294
former	201_258
four	267
free	128
french	18
from	264_329
fundation	153
gender	320
general	135
get	319
govern	247
group	59
have	12_36_140_170_230_237_240_302
he	71_112_116_144_206_215_236
head	269
headline	328
hunger	305
impropriety	147
in	10_20_22_181_217
intelligence	28
internal	40
intervention	19
investigate	142
islamic	57
israel	199
it	25
its	257
jail	293
jean-claude	67
jerry	4
juncker	68
lastest	327
lead	37
leave	81_97
lybia	21
major	209
make	70
manning	288
market	125
michael	283
michell	260
migrant	44
month	187
more	192
motivate	164
move	161
movement	129
mr	228
mr.juncker	85
mr.trump	155
new	137_253
news	2_331
next	186
no	121
not	103
obama	167
of	33_49_54_63_74_109_123_130_136_270
on	211
originally	194
parliamentary	8
pass	295
people	131
peres	204_229
plan	172
platini	261
politically	163
poor	27
possibe	146
praag	285
president	62_166_202_254_259
proliferation	48
reassignment	321
receive	313
reduce	242
refugee	176
regret	92
report	9
respect	90
responsive	232
result	108
risk	105
rivalry	35
say	26_86_117_213_226
sedation	235
serious	219
severely	13
shallow	31
she	307_317
shimon	203
since	77
slovenian	271
smit	5
so-called	56
soldier	292
spokesman	158_225
spread	53
stable	221
state	58_73_139_195
states	180
strike	306
stroke	210
suffer	207
surgery	322
than	193
that	189_214_227_316
the	15_52_55_61_64_82_87_100_127_133_160_178_182_234_281_290_299_304_326
there	118
those	324
tip	278
to	38_80_96_173_177_279_298
today	255
treat	198
tribal	34
trump	150
tuesday	212
under	239
understanding	32
union	75_89
united	179
van	284
vote	79
warfare	41
weapon	50
website	301
what	143
when	115_233
wikileaks	300
will	250_318
with	3
without	126
year	184
years.the	268
york	138
