's	20_40_196_205_216_334_616_653
,	62_112_183_194_404_417_453_709_817_835
.	2_10_42_52_59_68_87_108_138_156_166_191_199_213_235_250_273_282_305_320_328_357_373_377_401_424_447_464_495_503_506_533_554_572_590_619_643_647_689_732_760_773_781_808_828_848_855_858
16	843
18	531
2016	812
25	299
2:1	832
3,000	176
3rd	491_853
5th	206
6,000	49
a	97_103_150_232_263_283_389_396_405_414_465_512_568_577_733_744_761_793
about	133_325
accuse	78
acknowledge	475
across	714
act	400
african	552
after	748
again	61
against	18
agency	694
ahead	37
all	715
allegation	676
allow	796
alongside	803
also	276
american	187
amman	372
and	17_65_185_266_301_317_339_458_546_573_599_671_682_702_770
animal	750_807
answer	45
anti-doping	693
appear	162
area	443
army	735_762
arsenal	265
as	223_260_567_753
at	22_297_402_746_809
athletics	661
attack	270_391_452_771
attempt	147_208
audience	51
authority	699
bach	624
bagdad	470
base	188
bbc	8_504_856
be	4_44_57_102_125_170_201_229_246_322_342_380_410_432_437_501_528_535_556_581_629_720_725_739_751_801_830_838
beat	831
because	635
bemba	527
between	314
big	284
biggest	30
blast	307
body	659
bombing	350
border	335_385_460
boris	110
both	836
brazil	729
brazilian	734
breach	705
break	106
bring	630
britain	19
but	109
by	655_833
call	395
camp	423
campaign	15_77_93
campaigner	116
candle	366
candler	6
capital	293_371
carl	73
case	514
cause	327
central	551
ceremony	759
chained	805
champion	820
cheating	634
check	604
cheer	119
chief	622
chris	55
christopher	472
city	492
civilian	548
claim	132_498
clash	27_313
clear	483
close	289_343_461
coast	155
code	708
colonel	471
colven	645
commander	468_579
committee	594_784
compete	727
competitor	596_673_710
conduct	586
conflict	323
congolese	523
correspondent	54
country	249_333_638_713
court	519
cover-up	681
coward	397
criminal	518
croatia	834
currently	438
damage	134
darts	776
dawn	403
dead	743
deadly	348
debate	33
decision	654
declare	331_455_695
defend	819
design	171
dessert	446
determination	279
develop	262
difficulty	256
distant	271
dominate	67
dope	680
doping	606
down	242
dozen	358
drive	411
drug	686_697
east	154
economy	64_137
end	850
enough	178
enter	435
escape	767
euro	811
european	24
evaluate	722
evans	198
exhibit	802
explosion	285
explosive	409
extra	603
face	259
