's	27_188_190_236_304_439_450_734
,	74_76_79_119_164_210_228_258_408_632_792_840_858_875
.	30_51_58_71_91_96_108_126_143_169_177_205_241_270_282_307_322_338_359_371_400_413_432_443_455_465_475_489_506_531_552_561_588_600_616_628_655_663_673_683_703_714_728_741_752_769_801_819_848_879_882
1	847
11	226
14.62	807
150,000	679
17-year-old	440
1920s	751
2	816
200	416
23	158
3	844
35	594
51	798
a	124_182_247_347_605_613_690_694_720_732_738_770_782_786_794_812_838
abeid	568
able	557
abolish	591
abroad	136
accusation	279
accuse	112_130
activist	565
adopt	441
after	863
against	254
aganist	585
ago	370_431_596
alive	487
along	404
also	555
amina	449_498
amunition	81
and	35_72_92_135_167_276_317_354_392_499_547_648_737_809_820_866
angry	631
another	225
answer	559
anti-slavery	564
apply	361
arrest	32_611
as	123_314_331_542_544_550_776
assistance	517
at	7_89_133_790
attack	313
auction	791
auschwitz	702
away	725
baby	407
ban	641
bbc	447_507_880
be	53_87_99_215_280_298_344_393_402_418_436_463_468_477_485_501_538_556_570_578_590_630_635_659_665_678_686_697_706_746_764_810_852
beat	841
because	503_633
become	181
before	672
big	63
biram	566_602
blame	17
block	36
blue	773_779
boko	384_425
bottle	75
bottom	722
brazil	187
brazilian	145
break	865
buck	85
buhari	391
business	131
but	97_466_597_859
by	117_420_471_540_766_815_843
call	219_345_534
camp	701_758
campaign	320_614
candidate	300
capital	14_67
car	220_243
caracas	15_70
carneiro	171
cause	104
chain	740
chibok	380
chief	152
clapper	309
clash	64
clear	479
coalition	267
command	530
commit	668
committed	580
congress	111
conservation	709
conspiracy	168
continue	599
control	545
correspondent	55
corruption	163_185_222_269
council	50
country	26
crisis	29
cup	692_718
curator	715
cyber	312
dah	567
daughter	442_460
davis	57
de	175
decade	204
decision	358
decree	118
delay	348
democratic	316
demonstrator	41
depend	645
deport	755
destablize	140
determine	627
device	518_533
diamond	788
dictator	125
dilma	256
dirceu	156_179
director	285
discovery	705
dollar	800
dominate	869
due	328
during	612_708
economic	28
election	306_327
electoral	49
enable	521
enamel	691
english	850
ensure	350
entire	526
equalize	861
establish	743
estimate	676
eu	365
europa	830
european	340
ever	582
everyone	500
executive	653
exhibition	713
expose	259
face	200
fair	355
false	721
fearful	762
fight	584_657
find	464_687_716_731
fire	4_88
first	410
flank	814
follow	609
football	822
for	24_162_295_346_638_785_833
foreign	296
former	150_231_699
free	353_403
from	42_173_379_383_572
game	874
gas	6_78
general	326
get	94
giant	511
girl	378_417_484
give	394_452
go	474_867
goal	845
gold	735_739
google	512_535_553
govern	266
government	20_142_297_374
group	424
hacker	293
half	856
haram	385_426
have	3_147_180_289_324_343_461_513_623_685_719_780_827
he	127_141_198_274_444_453_577_610_617_621_625_674
headquarters	46
help	395
here	52_643
hide	688_759
home	134_527_536_554
hope	454
i	457_467_481_491_629
impeachment	252
in	12_62_65_69_82_106_128_160_186_193_206_250_301_592_607_619_681_693_748_750_821_837
include	229
increaingly	122
innocence	275
inside	689_729
insurgent	423
intelligence	288
intensify	321_334
interest	132
internet	292
into	398
involve	192
involvement	261
islamist	422
it	93_476
jail	161_608
james	308
janeiro	176
jem	774
jewelry	684
jews	754
joao	238
join	363
jose	155_272
judge	146_211
judiciary	642
julia	170
karat	808
kidnap	419
know	458_775
large	771
laundering	166
lead	216_853
league	831
lighting	546
live	80
liverpool	842
macedonia	323_360
maduro	23_114
maintain	273
major	196_248
make	624_707_747
many	753
march	43
mauritania	593
mauritanian	563
meet	388
militant	386
million	799
money	165
month	330
mood	650
more	311_366_414_427_579_626_660_667_796_878
moro	213
morotania	682
mr	113_178_271_601
much	102
muhammadu	390
museum	695
my	459
national	287
nazi	700_768
nearly	855
neto	240
new	783
news	508_881
next	329
nicolas	22
nigerian	373
nkeki	438
not	462
now	105_666
of	9_21_47_84_115_120_137_153_184_233_262_264_286_434_497_504_651_763_872
on	574_711_868
one	433_854
oppenheimer	778
opposition	10
opposition-controlled	110
organization	675
organize	524
over	201_335_604_726
parent	496
part	249
party	191_237_319
past	203
people	34_227
personnel	516
plant	548
play	246
poland	749
police	2_31
polished	787
political	281_332
politician	263
poll	352
postphon	325
power	539_654
powerful	103
practice	587
predicate	310
president	255_389
presidential	151_305
pretty	101
prevent	39
price	795
prison	573_620
probably	745
probe	223
proceedings	253
proof	637
protest	60
protester	11_90
question	560
rally	615
rare	803
reach	793
really	492
recently	381
record	784
rectangle-cut	804
reintegrate	397
rejoice	470_493_502
release	571
report	172
republican	318
rescue	382_412
rest	871
result	61
return	451
ring	736_813
rio	174
road	37
rob	765
rousseff	257
row	839
ruling	116_121_209
rust	724
same	208
say	277_376_576_622
scandal	197_245_337
score	876
see	472
sell	789
sentence	148_224
sergio	212
set	781_811
several	33
sevilla	826_860
she	401_406
shortly	862
shot	86
side	851
slave	680
slavery	589
smaller	817
so	218_490
socialist	19
society	399
somewhere	488
spanish	824
spend	603
spokesman	375
still	469_478_486_598
stone	73_805_818
stuff	154
such	411_549
symbol	183
target	299
team	825
tear	5_77
technology	510
television	551
tell	445
temper	647
ten	368
term	83
test	742
than	367_415_428_581_661_671_797
that	448_482_519_744
the	13_18_25_40_45_48_59_66_100_109_144_149_194_202_207_217_230_234_242_251_260_265_278_283_291_315_339_351_357_364_372_377_409_421_446_483_495_509_515_532_562_586_636_646_649_652_656_698_704_712_717_757_767_777_802_823_829_834_849_864_870_873
there	677
they	435_525_639_670_730_760
third	835
this	98_302_473_505_634
thousand	8
time	618_727_857
title	832
to	38_44_139_157_349_362_396_480_523_558_583_640_669_756_846
today	68
translucent	772
treasurer	232
try	138
tuesday	575
turmoil	333
turn	129
twice	877
two	195_429
union	341
unveil	514
us	284
use	528
user	522
vaccari	239
valuable	761
venezuela	107
venezuelan	1
vigorous	662
violent	95
voice	529
warn	290
wash	221_244
we	54_664
weigh	806
welcome	356
well	543
which	342_644_696_723
who	16_214_569
wifi	541
will	56_387_520_537
win	828
wiretap	336
with	268_405_494
woman	733
work	294_710
worker	189_235
would	199_658
yakubu	437
year	159_303_369_430_595_606_836
yes	456
