's	377_412_619
,	73_84_235_269_350_445_456
.	21_25_38_57_68_79_105_127_144_187_203_226_260_274_287_300_309_331_346_354_369_390_409_428_465_475_502_531_552_579_590_607_630_639_654_670_689_713_724_758_784_802_819_822
1	336
14	135
2	535_549_807
2015	286
21	580
250	82
2nd	593
3	122
40	701
41	291
4million	732
5000	334
6	797
6.1	131
a	45_48_207_316_357_366_370_401_432_520_526_553_560_605_623_664_740_759_796
achievement	389
across	816
activity	243
adaptable	234
add	750
africa	215
african	156
after	496_559_661
ago	438
air	1_756_804
aleppo	8_37_77_99
all	228
also	60_719
and	145_181_418_460_540_662_678_745
andy	352
area	67
arizona	794
arm	248
around	35_462_768
as	241_397
assad	33
asylum	555_624
at	80_340
atlantic	818
attack	46_63_180_268_270
attempt	765_814
australia	563_611
authority	699
bank	111
bbc	474_820
be	42_61_89_92_206_216_232_294_333_351_356_424_431_440_467_494_573_585_592_632_637_641_649_652_659_674_718_764
because	170
become	159
before	812
best	322
beyond	195_306
billion	132
birth	95
blame	43
bottom	441
brisbane	578
but	364_410
by	190_282_435_446_773
california	801
call	361
capital	727
capture	281
car	705_733
cause	315
celebrate	382
center	629
chelsea	411
child	88
city	6_311_349_695
civilian	74
clear	487
club	716
coast	157
collapse	20
collation	521
combination	741
come	365_688
compare	137
complete	777
continue	72
country	618
craft	805
critical	588
criticize	616
cut	722
dangerous	162
day	780
dec.	530
decrease	222
deserve	657
detain	622
detention	565
difficult	259
dissolve	484
divide	97
do	28
dollar	133
donalds	542
down	134
dozen	54_86
dream	363
due	481
earlier	391
edwards	23
elect	528
election	492
emergence	533
emission	723
end	415_508
english	328
entire	313
entrance	589
equalizer	414
even	680
expect	737
facility	601
failure	513
fall	117
fan	373
feb	15
felipe	477
find	650
firer	169
first	121
fishing	272_279
five	278
flight	799
fly	767
follow	511
for	44_167_201_212_400_419_490_506
force	34
form	519
formally	483
four	103
fresh	491
from	303_347_472_587
give	663
glorious	367
government	65
grade	13
green	612
group	194_208_308
guard	249
guinea	152
gulf	150
have	27_59_113_158_237_254_276_290_312_325_430_480_543_572_644_648_675_696_717_731_739_749_776
head	455
headline	459
high	452_743
hold	66_295_495
hope	417
hospital	49_576
hostage	292
hour	798
hsbc	112
if	655
immigration	595
impossible	362
impulse	787
in	3_14_75_119_164_174_209_223_285_298_522_529_562_577_626_638_691_693_789_793_809
incident	596
include	85
inconclusive	527
increase	173_199_244
industry	715
island	569
it	355_423_429_591_813
its	321_454_735_782
job	257
john	204_301
journey	434_783
june	510
keep	707
kidnap	200
kill	53_93
king	378_476
know	323
land	297_788
languish	677
largest	110
last	50_142
late	413
later	486
latest	779
lay	682
league	330_451
least	81
leicester	310_332_348_376_421_439
less	603
level	183
life	561
listen	468
little	29
long	752
look	399_660
lorn	683
lose	669
low	746
make	255_501
manager	211
marry	461
mexico	694_726
military	41
month	123_497
more	258
most	161_387
movement	538
naru	679
navel	242
nervous	394
new	536_599
news	471_821
night	104_358
northern	5
not	673
now	681
number	176
ocean	193_252_305
of	7_19_55_87_107_124_151_153_171_177_184_214_239_247_267_320_343_359_372_384_442_478_498_509_514_525_534_546_570_597_602_610_621_703
off	708_795
offshore	564_628
old	582
on	47_64_94_271_296_395_453_566_711_734_742
once	690
one	106_383
only	772
opportunity	665
ordania	583
order	700
other	265
outside	337
over	100_229
pacific	568
parliament	485
party	427_517_550_613
past	102
people	56_83_642
percent	136_702
period	141
peru	571
pihada	22
piracy	196_307
pirate	179_198_221_227_284
plan	646_806
plane	762
player	318_422
podemos	539
point	18
policy	620
political	499_537
pollution	692
power	379_761
premier	329_450
president	32
problem	754
profit	118
prolong	405
prompt	697
protect	251
pure	771
push	10
quality	757
race	408
rage	163
ransom	202
reality	368
rebel	62
rebuild	667
recent	224
rediculous	634
refugee	653
regional	210
remarkable	388
report	24_90_114_147
revel	324
rival	516
road	710_736
ruff	600
ruin	31
russia	26
safe	12
same	140
say	148_197
schedule	505
score	314
season	345
see	168_238_277
seeker	556_625
self	594
senator	609
send	375
set	96
settle	558
sharp	116
she	617
shift	263
ship	253
should	672
sin	584
single	317
situation	635
sleep	129
so	360
solar	760_786
somali	283_554
somalia	220_240_299
some	319_433_714
south	155
spain	479_547
sport	386
stadium	380
stale	500
standing	753
start	342
state	792
steve	205_302
still	289_293
stop	808
strike	2
study	189
suffer	78_586
sun	775
support	545
swiss	353
syria	40
syrihason	614
system	551
table	444
talk	71
tell	720
temperature	744
than	604
that	256_374
the	4_17_39_70_76_98_101_108_120_125_139_146_149_154_160_165_172_175_178_182_188_191_217_230_245_304_327_341_344_385_406_420_436_443_448_463_473_488_503_507_512_515_523_532_567_598_608_627_633_704_709_725_769_774_778_790_803_810_817
theader	541
then	262
there	58_128
these	640
they	261_392_416_457_645_647_656_668_676
this	631
thousand	371
threat	218
time	425
title	407
to	16_30_36_91_115_130_219_250_264_335_338_381_426_469_482_493_518_575_651_658_666_685_687_698_706_721_730_738_751_766_785_800_815
tottenham	398
traditional	449_548
transfer	574
true	11
tue.	712
turn	447
tv	396
type	266
undermine	544
us	192_791_811
use	186_246_729
very	233
vessel	273_280
violence	185
vote	504
wake	524
watch	393
way	489
we	236_275_288_636_671
week	51_606
which	52_403_728_748_763
while	69
who	9_557_643
whole	213
will	404
win	326_339_402_458
wind	747
with	138_755_781
world	109_166_231_464_470_770
year	126_143_225_437_581_684_686
you	466
young	615
